nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,81201,2015-11-28T09:48:17Z,2026-03-03T14:03:24Z,3748,0,,175,0,27,34,0.5573770491803278
syncthing/syncthing,https://github.com/syncthing/syncthing,80479,2013-11-26T09:48:21Z,2026-03-03T13:30:36Z,4480,0,Go,2836,461,370,5485,0.9368061485909479
astral-sh/uv,https://github.com/astral-sh/uv,80183,2023-10-02T20:24:11Z,2026-03-03T14:01:30Z,882,0,Rust,8472,258,2354,6241,0.7261198371146015
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,80121,2012-10-19T15:02:57Z,2026-03-03T14:04:52Z,4882,0,Java,42,339,479,40879,0.9884182020407176
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,79963,2024-11-19T01:10:17Z,2026-03-03T13:58:01Z,469,0,TypeScript,1178,24,271,560,0.6738868832731648
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,79941,2023-09-18T20:52:03Z,2026-03-03T13:19:32Z,896,0,,23,0,39,18,0.3157894736842105
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,79782,2023-09-24T13:19:31Z,2026-03-03T14:11:47Z,891,0,Python,98,10,82,1029,0.9261926192619262
browser-use/browser-use,https://github.com/browser-use/browser-use,79463,2024-10-31T16:00:56Z,2026-03-03T13:55:21Z,487,0,Python,1668,118,128,1268,0.9083094555873925
fighting41love/funNLP,https://github.com/fighting41love/funNLP,79161,2018-08-21T11:20:39Z,2026-03-03T12:21:57Z,2751,0,Python,14,0,37,47,0.5595238095238095
doocs/advanced-java,https://github.com/doocs/advanced-java,78873,2018-10-06T11:38:30Z,2026-03-03T13:12:31Z,2705,0,Java,89,1,1,147,0.9932432432432432
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,78583,2020-07-09T10:34:22Z,2026-03-03T13:56:08Z,2063,0,JavaScript,1568,0,155,1231,0.8881673881673882
